Method,Sample,Temperature,Temp [K],1/T [K-1],Slider_k1,Slider_k2,Slider_m,Slider_n,Slider_r,Fit_k1,Fit_k2,Fit_m,Fit_n,Fit_r,Unc_k1,Unc_k2,Unc_m,Unc_n,Unc_r,source_file
DSC,DAB,25,298.15,0.003354016,1.00E-06,9.95E-05,0.395,0.733,0.606,2.32E-05,0.000234329,1.259247218,1.004860515,0.603383823,4.66E-08,1.52E-06,0.003683663,0.0025818,5.50E-05,DAB_index0_fit.csv
DSC,DAB,33,306.15,0.003266373,1.45E-05,0.000928966,0.589,1.653,0.22,5.20E-06,0.000376491,0.386459132,1.237640141,0.219794373,2.43E-07,1.26E-06,0.00144704,0.001317224,1.14E-05,DAB_index1_fit.csv
DSC,DAB,50,323.15,0.003094538,6.40E-05,0.000928966,0.516,1.411,0.831,0.0001871,0.000986376,0.766835479,1.319044654,0.829313801,8.37E-07,3.52E-06,0.003720812,0.00173711,4.84E-05,DAB_index2_fit.csv
DSC,DAB,60,333.15,0.003001651,2.63E-05,0.001682674,0.42,1.46,0.901,0.000377064,0.002082856,0.915537407,1.433259179,0.898401329,1.75E-06,9.70E-06,0.005073445,0.002090203,4.30E-05,DAB_index3_fit.csv
DSC,DAB,80,353.15,0.002831658,2.63E-05,0.006397348,0.468,1.58,0.929,0.000729451,0.004280179,0.476853902,1.299764907,0.927178623,1.16E-05,6.81E-06,0.004047135,0.001330585,3.25E-05,DAB_index4_fit.csv
DSC,DAB,100,373.15,0.002679887,0.0001,0.015631476,0.54,1.508,0.888,0.000427531,0.012309774,0.374142937,1.448054917,0.887111104,3.58E-05,1.69E-05,0.003278327,0.001411382,3.57E-05,DAB_index5_fit.csv
DSC,DAP,25,298.15,0.003354016,1.95E-05,0.000281838,1.242,1.291,0.559,2.63E-05,0.000189779,0.99976291,1.090801252,0.556950727,5.85E-08,1.03E-06,0.003141359,0.002072202,4.59E-05,DAP_index0_fit.csv
DSC,DAP,33,306.15,0.003266373,1.25E-05,0.001452112,0.734,1.944,0.208,5.13E-05,0.000497671,0.586707121,1.529301603,0.207343985,6.77E-07,7.15E-06,0.006066185,0.003533547,1.29E-05,DAP_index1_fit.csv
DSC,DAP,50,323.15,0.003094538,0.0001,0.000801678,0.686,1.556,0.752,0.000137187,0.00098087,0.851784075,1.533011619,0.751074482,2.97E-07,2.21E-06,0.001891416,0.001038944,2.14E-05,DAP_index2_fit.csv
DSC,DAP,60,333.15,0.003001651,4.09E-05,0.001682674,0.589,1.411,0.852,0.000276421,0.001642886,0.790273888,1.54509268,0.851024893,6.68E-07,2.83E-06,0.001876815,0.000837977,1.83E-05,DAP_index3_fit.csv
DSC,DAP,80,353.15,0.002831658,3.05E-05,0.006397348,0.54,1.992,0.794,0.000642339,0.004337296,0.535920983,1.631705334,0.793643313,3.11E-06,4.23E-06,0.001494741,0.000641253,1.19E-05,DAP_index4_fit.csv
DSC,DAP,100,373.15,0.002679887,4.74E-05,0.018197009,0.54,1.605,0.829,0.000727226,0.012361417,0.413248505,1.700393664,0.828249119,2.68E-05,1.56E-05,0.002888783,0.001224963,1.81E-05,DAP_index5_fit.csv
DSC,EDA,25,298.15,0.003354016,1.56E-06,0.0001,0.322,1.121,0.784,3.58E-05,0.000265867,1.588657784,1.479633587,0.788838598,8.10E-08,3.21E-06,0.007745737,0.005790461,0.000241287,EDA_index0_fit.csv
DSC,EDA,33,306.15,0.003266373,3.05E-05,0.000928966,0.71,1.532,0.151,1.00E-08,0.000210697,0.305848332,1.072260676,0.151095754,2.29E-07,7.50E-07,0.00155746,0.001371858,1.02E-05,EDA_index1_fit.csv
DSC,EDA,50,323.15,0.003094538,1.08E-05,0.000801678,0.444,1.532,0.683,8.54E-05,0.000897962,0.736911647,1.542164521,0.682232373,2.74E-07,1.91E-06,0.001610662,0.001080087,2.46E-05,EDA_index2_fit.csv
DSC,EDA,60,333.15,0.003001651,0.0001,0.001247384,0.492,1.798,0.725,4.85E-05,0.001219415,0.429628478,1.678402486,0.728302529,6.48E-07,8.93E-07,0.00092215,0.000661604,2.31E-05,EDA_index3_fit.csv
DSC,EDA,80,353.15,0.002831658,0.001949845,0.002630268,0.686,1.339,1,0.001473078,0.002649966,0.433957212,1.302729313,1,2.23E-05,1.15E-05,0.009164759,0.002100458,0.000171466,EDA_index4_fit.csv
DSC,EDA,100,373.15,0.002679887,0.0001,0.011587774,0.251,0.927,1,1.00E-08,0.010100652,0.23568536,0.763777937,1,0.001058571,0.00074077,0.051608748,0.03221267,0.010938289,EDA_index5_fit.csv
NMR,EDA,25,298.15,0.003354016,0.0001,0.01,1,1,0.021,1.00E-08,0.00042056,0.354918655,1.432515068,0.021297839,4.13E-06,9.50E-05,0.042061166,0.037625483,8.32E-06,NMR_index0_fit.csv
NMR,EDA,33,306.15,0.003266373,3.53E-05,0.002630268,0.662,1.459,0.029,3.43E-05,0.001956699,0.571480492,1.513827829,0.028490215,9.54E-06,0.000670806,0.063028688,0.053452575,2.61E-05,NMR_index1_fit.csv
NMR,EDA,40,313.15,0.003193358,2.26E-07,0.005520774,0.613,1.411,0.044,1.00E-08,0.003008256,0.5177153,1.402120811,0.043914597,4.50E-06,0.000655775,0.034522526,0.050696811,4.09E-05,NMR_index2_fit.csv
NMR,DAP,25,298.15,0.003354016,3.53E-05,0.000928966,0.42,1.605,0.03,1.00E-08,0.000474619,0.265192543,1.481782096,0.029692205,1.61E-05,7.47E-05,0.047815884,0.027990377,7.98E-06,NMR_index3_fit.csv
NMR,DAP,33,306.15,0.003266373,6.40E-05,0.00476431,0.734,1.411,0.043,0.000389936,0.387742421,1.90488095,1.795437349,0.042691586,8.91E-05,0.418159156,0.216793925,0.132699357,5.96E-05,NMR_index4_fit.csv
NMR,DAP,40,313.15,0.003193358,0.0001,0.001452112,0.444,1.218,0.057,1.00E-08,0.001801868,0.432803256,1.14482636,0.056622385,9.18E-06,0.000361027,0.038536588,0.048267747,3.95E-05,NMR_index5_fit.csv
NMR,DAB,25,298.15,0.003354016,2.63E-05,0.000594292,0.468,1.508,0.034,1.00E-08,0.000340093,0.315869707,1.395349826,0.03411866,8.91E-06,8.86E-05,0.062713397,0.049008409,2.16E-05,NMR_index6_fit.csv
NMR,DAB,33,306.15,0.003266373,0.000156315,0.003047895,0.831,1.387,0.05,1.00E-08,0.000450376,0.241349852,1.131428582,0.050073536,3.64E-05,8.66E-05,0.079245381,0.049420632,3.86E-05,NMR_index7_fit.csv
NMR,DAB,40,313.15,0.003193358,2.63E-05,0.008590135,0.758,1.604,0.042,0.000295399,0.051516647,0.909721449,2.273556902,0.041867498,6.02E-05,0.020948332,0.071010846,0.078065601,6.06E-05,NMR_index8_fit.csv
