sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,c,c_err,dropped,elapsed_min,alpha
DAB,25C,1,2020-02-29 22:34:16,18.148117181525347,0.058369954863345064,0.02302035671228533,0.00012297756411975687,0.7277981898581447,0.003097491697118352,1.0781855688363542,0.005244986128389385,False,0.0,0.0
DAB,25C,2,2020-02-29 22:42:08,18.08109545128169,0.05563466105002535,0.022476958516007735,0.0001146814693049322,0.7354484863108489,0.0030014479024052113,1.0587488381762087,0.0048534655745049145,False,7.866666666666666,0.02360511624859396
DAB,25C,3,2020-02-29 22:50:00,17.95302018256074,0.05727660898313327,0.020977222830091544,0.00011096304515303443,0.7474093844439041,0.003167003507904495,1.0603253389798415,0.004646497388200869,False,15.733333333333333,0.0887533545952145
DAB,25C,4,2020-02-29 22:57:54,17.89919387483628,0.05751591210918954,0.019261985336478892,0.00010277236848122697,0.7563749508470926,0.0032262186539572238,1.0540368924456933,0.004310633388679079,False,23.633333333333333,0.16326295125569013
DAB,25C,5,2020-02-29 23:05:46,17.938908854098056,0.05789086316710314,0.017372269999207757,9.350228550391966e-05,0.7603747887051449,0.0032435962381157247,1.0464936943403953,0.0039775404362456315,False,31.5,0.2453518328872526
DAB,25C,6,2020-02-29 23:13:38,17.96957916866806,0.05946888655920646,0.015425838700353519,8.530177770854934e-05,0.7665508032679507,0.003347664528498847,1.0493895988703812,0.0037241039288829323,False,39.36666666666667,0.32990444530682816
DAB,25C,7,2020-02-29 23:21:30,17.778659479790534,0.059881830610322734,0.013968881409859562,7.80658562967034e-05,0.7808267656272332,0.0034988247288795377,1.046198259991012,0.0034976865508721407,False,47.233333333333334,0.39319439813872414
DAB,25C,8,2020-02-29 23:29:22,17.97527656081675,0.06634779081581355,0.01191765691757845,7.3967992444429e-05,0.7707052401058914,0.0037264736815048258,1.0471152935671622,0.003456386242369044,False,55.1,0.48229920732643017
DAB,25C,9,2020-02-29 23:37:20,18.143050284917773,0.05610004162185364,0.010366511519754843,5.253982548772594e-05,0.7642315927348801,0.0031660581266247686,0.7522537480223566,0.0044404045663058575,False,63.06666666666667,0.5496806739652943
DAB,25C,10,2020-02-29 23:45:18,18.231045415660578,0.05996230597823454,0.008716277449211787,4.7663579384759835e-05,0.7624156038483559,0.00331072427872784,0.7394375176124325,0.004092378906786885,False,71.03333333333333,0.6213665340572176
DAB,25C,11,2020-02-29 23:53:16,18.175184041759497,0.06456057115941198,0.007173627620594114,4.2947803468197215e-05,0.7577083272987671,0.003497756927906452,0.7423013214711834,0.003779843351528746,False,79.0,0.6883789547550431
DAB,25C,12,2020-03-01 00:01:14,18.255869753468204,0.07135344450194557,0.005736777845139531,3.827858657542276e-05,0.7513862297127993,0.0037538821159129746,0.7420593120623248,0.003543768726229406,False,86.96666666666667,0.7507954408856762
DAB,25C,13,2020-03-01 00:09:12,18.358639167650352,0.07862394918270818,0.004431282721443573,3.30390997035909e-05,0.7351512065069088,0.003919295266975703,0.7425632594853171,0.0032462254857391166,False,94.93333333333334,0.8075059054545962
DAB,25C,14,2020-03-01 00:17:10,18.291741316336676,0.09132159174241776,0.003406628247483387,2.9988084121167336e-05,0.7246609242131287,0.00441286497525633,0.7349158082619156,0.0031506800163076014,False,102.9,0.8520167046036535
DAB,25C,15,2020-03-01 00:25:08,18.52393637001953,0.11221873786920276,0.00244154142435359,2.6472251143040504e-05,0.7102935415911824,0.0051074902125197085,0.7400943400884832,0.0030942089061952484,False,110.86666666666666,0.8939398961159187
DAB,25C,16,2020-03-01 00:33:06,18.39961165162124,0.1286761901992008,0.0017560539844518994,2.2242381924204432e-05,0.6971605219793255,0.005632002640613679,0.7398989748195239,0.002844660477084081,False,118.83333333333333,0.9237173425937948
DAB,25C,17,2020-03-01 00:41:08,18.989839513036088,0.12102419749428125,0.0012146541952667515,1.4140184030135615e-05,0.6658336177733565,0.004780397824013684,0.3661844679103358,0.004727392302528572,False,126.86666666666666,0.9472356484111941
