sample,temp,scan,timestamp,n_avg,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP2,33C,1,2026-03-12 08:53:18,1,17501.827895758775,110.94140517648086,0.021911110540395195,0.00027022497785373695,0.6460791734709618,0.0047437254013239435,False,0.0,
DAP2,33C,2,2026-03-12 08:54:52,1,16908.23960741106,96.75880341390291,0.02731043052631072,0.0002948425364480069,0.6745207580368598,0.004726341525168554,False,1.5666666666666667,
DAP2,33C,3,2026-03-12 08:56:28,1,16754.919414508262,92.39135716548361,0.028730363440015564,0.00029667688738348506,0.681307787628022,0.004663487117319865,False,3.1666666666666665,
DAP2,33C,4,2026-03-12 08:58:02,1,16641.890889162885,91.76312391350766,0.029246472378344084,0.000298149548675466,0.6937069791392059,0.004801993705321632,False,4.733333333333333,0.0
DAP2,33C,5,2026-03-12 08:59:36,1,16783.863937294806,93.78146846474216,0.02858596570905085,0.0002973410151230662,0.6871351724688645,0.00477948923627022,False,6.3,0.02258414829483213
DAP2,33C,6,2026-03-12 09:01:12,1,16584.8446571987,92.51578859562298,0.028468055179405857,0.0002934412003935572,0.6944804692925118,0.004842488470495838,False,7.9,0.026615763736163145
DAP2,33C,7,2026-03-12 09:02:46,1,16597.767202674448,95.24472483367583,0.02752290211763926,0.0002928671884091859,0.6912421200728491,0.004918883283280961,False,9.466666666666667,0.058932586412748456
DAP2,33C,8,2026-03-12 09:04:22,1,16651.989031115572,93.10279973555393,0.026712822758257905,0.0002767379645232007,0.6921731274676842,0.0047789792232943665,False,11.066666666666666,0.08663094773652946
DAP2,33C,9,2026-03-12 09:06:04,1,16543.95949628198,94.03671996792555,0.026479297988962563,0.00027586783678440344,0.7030644416204779,0.004967412769894193,False,12.766666666666667,0.09461566350923434
DAP2,33C,10,2026-03-12 09:08:56,1,16626.727838044142,95.9549920232701,0.02445051716094787,0.00025797473299709527,0.7059392879874392,0.005021599678431882,False,15.633333333333333,0.16398405781571923
DAP2,33C,11,2026-03-12 09:11:44,1,16402.497695605016,96.10391717510802,0.023045227264781594,0.00024281997108216555,0.7229953852817441,0.005263396966099574,False,18.433333333333334,0.21203395176487272
DAP2,33C,12,2026-03-12 09:14:32,1,16636.874928204757,101.23279709958085,0.020323633818539175,0.0002252577784105671,0.709792697293075,0.005248011671600799,False,21.233333333333334,0.30509110447152377
DAP2,33C,13,2026-03-12 09:17:04,1,16568.212498186163,103.46271636136478,0.018572226482831414,0.00020905037468759214,0.7205070066955009,0.005495623353715569,False,23.766666666666666,0.36497550054674455
DAP2,33C,14,2026-03-12 09:19:52,1,16365.548986157764,106.76908095272871,0.016543824429633962,0.00019276967963921177,0.7299734060457733,0.005849974796401846,False,26.566666666666666,0.43433094372489023
