sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP,40C,1,2020-07-28 18:35:52,21.95498799742151,0.3470419706116631,0.015825633782314975,0.0005324485601176515,0.5640982117054338,0.00878773218143248,False,0.0,0.0
DAP,40C,2,2020-07-28 18:36:44,20.44522988296969,0.2424069270940505,0.02964244053636501,0.0007060257510896737,0.6164633451173236,0.007917076240991692,False,0.8666666666666667,-0.8730649871027731
DAP,40C,3,2020-07-28 18:37:38,19.505653105830774,0.20306879744310133,0.03863097880720021,0.0007722619770565511,0.6585139318230053,0.007917592983620885,False,1.7666666666666666,-1.4410383393535895
DAP,40C,4,2020-07-28 18:38:32,19.581620032426382,0.19452726720740812,0.04186602873419961,0.0008081348878616921,0.6476796867920046,0.007427467560780412,False,2.6666666666666665,-1.6454566881855044
DAP,40C,5,2020-07-28 18:39:26,19.080784716541142,0.17741173330840054,0.04678939599306798,0.000825553576756604,0.6698577552243357,0.007426834005743902,False,3.566666666666667,-1.956557483679091
DAP,40C,6,2020-07-28 18:40:20,18.732257881820704,0.16751874966686003,0.04937799229126166,0.0008250774459983206,0.6846955905607673,0.007440618344284438,False,4.466666666666667,-2.1201273181514657
DAP,40C,7,2020-07-28 18:41:14,18.730919417995914,0.16880981353066454,0.04900282695774543,0.0008205666231919374,0.690221863524108,0.007583362885733465,False,5.366666666666666,-2.096421137490602
DAP,40C,8,2020-07-28 18:42:08,18.75954309741484,0.17205714388934973,0.04792974460925802,0.0008208084608464126,0.6854479488089266,0.007613201470723448,False,6.266666666666667,-2.02861454198562
DAP,40C,9,2020-07-28 18:43:02,18.58133837024783,0.17080515144820477,0.04766105793244287,0.000816125595785903,0.6877569874409923,0.007664433906651693,False,7.166666666666667,-2.0116366009747892
DAP,40C,10,2020-07-28 18:43:56,18.684990629488293,0.17282136664998637,0.045419742844553794,0.0007761826823444629,0.6959377490886133,0.0078118693221266265,False,8.066666666666666,-1.870010987825967
DAP,40C,11,2020-07-28 18:44:48,18.553971883481555,0.17321905371807322,0.0438668574397511,0.0007493644389052229,0.7057415119699054,0.008036649800671505,False,8.933333333333334,-1.7718862980875985
DAP,40C,12,2020-07-28 18:45:42,18.444484884873333,0.17735146431360213,0.04189855377385786,0.0007321219177072071,0.7127703769615417,0.008381174555142193,False,9.833333333333334,-1.64751190064054
DAP,40C,13,2020-07-28 18:46:36,18.295575937369957,0.1780861121325999,0.04011562625149742,0.0007053992367050153,0.7189001450317829,0.00858168628564588,False,10.733333333333333,-1.5348511663606375
DAP,40C,14,2020-07-28 18:47:30,18.583860225250103,0.18816105391517882,0.0365088544339001,0.0006733170658030862,0.7102986582422446,0.008699392244358993,False,11.633333333333333,-1.3069442232827644
DAP,40C,15,2020-07-28 18:48:24,18.187469173897355,0.18746598239822865,0.03497458558827548,0.0006481201284347534,0.7238132995966039,0.009135137477624925,False,12.533333333333333,-1.20999588827585
DAP,40C,16,2020-07-28 18:49:18,17.908637593378593,0.18665440305853265,0.033560425663264955,0.0006174747079551923,0.7432174370993705,0.009669773968546631,False,13.433333333333334,-1.1206370705208957
DAP,40C,17,2020-07-28 18:50:12,18.241312906755677,0.20102412765596744,0.02959644353552671,0.0005864909956893368,0.723433622094582,0.009716875457379,False,14.333333333333334,-0.8701584999774548
DAP,40C,18,2020-07-28 18:51:06,17.939207759007154,0.2046164674357751,0.02810124741799585,0.0005653252192420887,0.7439885153108452,0.010574442207891215,False,15.233333333333333,-0.7756791168388326
DAP,40C,19,2020-07-28 18:52:00,17.79432516071201,0.21187272911641353,0.02619599843082869,0.0005459665738285853,0.7521772610654063,0.011255846585795079,False,16.133333333333333,-0.655289057687062
DAP,40C,20,2020-07-28 18:52:54,17.54813428934439,0.21992073010761207,0.02409503971938169,0.0005270999147215393,0.7551355447666791,0.01192816567926433,False,17.033333333333335,-0.5225323706345151
DAP,40C,21,2020-07-28 18:53:48,17.850834123181414,0.2332977609119612,0.02139070253948687,0.0004899642837576865,0.7505635119122902,0.01229586796753379,False,17.933333333333334,-0.35164902927242103
DAP,40C,22,2020-07-28 18:54:42,18.31542980638474,0.2649776785333122,0.018084252358761235,0.00047529240123796797,0.7121247918833984,0.012347108056026648,False,18.833333333333332,-0.14271899675640465
DAP,40C,23,2020-07-28 18:55:36,17.804038256675202,0.2720212290521952,0.016404300672439316,0.0004443538713353881,0.7377291398243551,0.0139130679893362,False,19.733333333333334,-0.03656516371375895
DAP,40C,24,2020-07-28 18:56:28,18.318091170043427,0.3084099698358382,0.013540337661292324,0.0004185415268247862,0.700772842882365,0.013932848380294769,False,20.6,0.14440471405173372
DAP,40C,25,2020-07-28 18:57:22,17.91812244618838,0.3325769337962512,0.011878804495142113,0.00040312928109475035,0.7047573237357323,0.015513107622928022,False,21.5,0.24939470617495363
DAP,40C,26,2020-07-28 18:58:16,17.660612617805814,0.35528986101835397,0.010457947965629407,0.0003839542790969494,0.7064236649484696,0.01687723406271218,False,22.4,0.33917667314429556
DAP,40C,27,2020-07-28 18:59:10,17.78999172261003,0.4071063337609435,0.008335457865385417,0.0003592718077130376,0.6740121271262383,0.017574007322246083,False,23.3,0.47329389899694085
DAP,40C,28,2020-07-28 19:00:04,17.78888095639348,0.46445136071649107,0.006716692173083012,0.00033890505235989124,0.6484082200004908,0.01862846032051633,False,24.2,0.575581473356924
DAP,40C,29,2020-07-28 19:00:58,17.636866940746486,0.5255775999475014,0.0053261442332826715,0.00030346513504718627,0.6578519808454072,0.02179452838831926,False,25.1,0.6634482822903056
DAP,40C,30,2020-07-28 19:01:52,17.488675394159436,0.6042710244023392,0.004226755050017382,0.0002821780100697331,0.6467338811645132,0.02441589465702048,False,26.0,0.7329171704490756
DAP,40C,31,2020-07-28 19:02:46,18.175528006568683,0.8112598418179853,0.002828310649568031,0.00025906792685860314,0.5892763107743693,0.026348243060048716,False,26.9,0.8212829458540456
DAP,40C,32,2020-07-28 19:03:40,18.076264276633285,0.9574803224932161,0.0021425829409107665,0.0002369892322144101,0.5720943013130685,0.02941193504380574,False,27.8,0.8646131352221049
DAP,40C,33,2020-07-28 19:04:34,17.110144746292516,1.0902314137967357,0.0016756418685088866,0.00022058750729975448,0.5789494585344226,0.03594069071052087,False,28.7,0.8941184984084869
DAP,40C,34,2020-07-28 19:05:28,16.713273296341086,1.3294709945231213,0.001227598399459165,0.00019989164600534926,0.5831300781044356,0.04499505594181762,False,29.6,0.9224297480691739
DAP,40C,35,2020-07-28 19:06:20,14.961124715207538,1.312313333479737,0.0010613762870150306,0.00017180538989521288,0.6767554179887373,0.06504954801090664,False,30.466666666666665,0.9329330943951761
DAP,40C,36,2020-07-28 19:07:14,15.999322032159048,1.9381328151122332,0.0006574557661351356,0.00015987077627620486,0.5884333359644296,0.06750055647973674,False,31.366666666666667,0.9584562757372891
DAP,40C,37,2020-07-28 19:08:08,25.615026921489125,7.023609732433405,0.0001310162635912118,9.50539088749152e-05,0.35805219210742084,0.05571260911472976,False,32.266666666666666,0.9917212627694177
DAP,40C,38,2020-07-28 19:09:02,16.919606576905917,4.1412145203737625,0.00027990634969876665,0.00015281360295978406,0.4814723724544,0.08847103613864125,False,33.166666666666664,0.982313103313969
DAP,40C,39,2020-07-28 19:09:56,0.07390321722077564,0.1244236000409217,2.8079678531880887,84512024.85346502,5.172855094301177e-10,0.5242727256952388,True,34.06666666666667,
DAP,40C,40,2020-07-28 19:10:50,10.272661757776312,2.4799022523135537,0.00030610503647626465,0.00010367078804671262,0.9405928128401133,0.2958840273154794,False,34.96666666666667,0.9806576443833589
DAP,40C,41,2020-07-28 19:11:44,0.23409461149934274,0.0,2.692234585666756e-06,0.0,4.498206066764642,0.0,True,35.86666666666667,
DAP,40C,42,2020-07-28 19:12:38,1.374462803793719e-06,0.0,1.2489837675655913e-11,0.0,4.999998711057263,0.0,True,36.766666666666666,
DAP,40C,43,2020-07-28 19:13:32,0.0418276111178349,0.0733916984751624,0.6813243121789991,20691846.110169306,1.239781555602662e-09,0.9153624615412844,True,37.666666666666664,
DAP,40C,44,2020-07-28 19:14:28,0.0010148491745178845,0.0,1.0435889111129872e-08,0.0,4.998941125072394,0.0,True,38.6,
DAP,40C,45,2020-07-28 19:15:22,0.8640571460946285,0.0,9.792874892341452e-06,0.0,3.932589047052214,0.0,True,39.5,
DAP,40C,46,2020-07-28 19:16:16,0.09068037142594396,0.11525900074335574,2.2968565620649204,97543458.99393845,4.4203911762287365e-11,0.4208032369116441,True,40.4,
DAP,40C,47,2020-07-28 19:17:08,7.291078656374926,1.3794932425221937,0.00012256546131409957,1.3425564150968916e-05,4.999999964051145,3.81793107838224,True,41.266666666666666,
DAP,40C,48,2020-07-28 19:18:04,115.56279949138185,609.7837727279273,1.3319870299851095e-07,2.364201583171774e-06,0.18962773315689524,0.2653124899031452,True,42.2,
DAP,40C,49,2020-07-28 19:18:58,0.07738342695251349,0.21658229696476064,0.0006930604633468285,2319487.2978790896,3.1425937333477284e-10,0.4865360034402391,True,43.1,
DAP,40C,50,2020-07-28 19:19:52,41.15307622928635,160.97960571437554,9.491319388947062e-06,7.014961570928738e-05,0.4019921905818484,0.5896564697453508,True,44.0,
DAP,40C,51,2020-07-28 19:20:46,10.057500439511635,60.75867043289648,5.904602286630226e-09,6.153331348546671e-07,0.12024936445370879,0.5540115097003824,True,44.9,
DAP,40C,52,2020-07-28 19:21:40,0.6893567415648729,0.0,7.197936969060128e-06,0.0,4.139438529928605,0.0,True,45.8,
DAP,40C,53,2020-07-28 19:22:34,16.444559361036198,25.137110793538753,5.749136649514831e-05,0.00011763765055590262,0.7677120510944295,0.8214928796884973,True,46.7,
DAP,40C,54,2020-07-28 19:23:28,6.391334959025604,7.413734357158563,0.000117718862144459,0.00018038141032956814,0.9019119216034547,1.0551356416508229,False,47.6,0.9925615072505969
DAP,40C,55,2020-07-28 19:24:20,0.06462111373682178,0.0,7.161253794986073e-07,0.0,4.901143280410483,0.0,True,48.46666666666667,
DAP,40C,56,2020-07-28 19:25:14,8.562846644016613,12.488694409656755,8.67392291090317e-05,0.00018565144192395278,0.7446470839143218,0.8758577060067186,True,49.36666666666667,
DAP,40C,57,2020-07-28 19:26:08,5.7188007272274275,2.9706071336765847,0.0001513837310576542,7.13641821833269e-05,1.6160128426002371,1.5039375639555606,False,50.266666666666666,0.9904342705549761
DAP,40C,58,2020-07-28 19:27:02,0.03284311288174027,0.05343999674574993,0.06417398096131244,2760963.490599065,1.790922156757789e-08,1.1694714523608805,True,51.166666666666664,
DAP,40C,59,2020-07-28 19:27:56,328.6777681313184,1.4094351916126166e-05,4.535717522099476e-08,1.240261128949354e-07,0.20786618748510646,0.07285367462702508,True,52.06666666666667,
DAP,40C,60,2020-07-28 19:28:50,1.0164395017474916,0.0,1.1852559369899922e-05,0.0,2.809557531734421,0.0,True,52.96666666666667,
DAP,40C,61,2020-07-28 19:30:54,0.15434126325172992,0.0,2.2521807724546275e-08,0.0,4.966247531532149,0.0,True,55.03333333333333,
DAP,40C,62,2020-07-28 19:32:56,37.459480685879846,152.03964426072946,3.831268020643309e-06,3.2090990452250644e-05,0.3365321837864275,0.43545757051434286,True,57.06666666666667,
DAP,40C,63,2020-07-28 19:35:00,3.274079420620325,2.4691829754982746,0.0001576802903619669,0.00016325408729090442,0.8973161082603147,0.7416363903078242,False,59.13333333333333,0.9900363996456071
