sample,temp,T2_0,B,B_err,a0,a0_err
DAB,25C,0.02278195926836095,0.16766076126797186,0.005547799279235077,1.0265030369941235,0.0010752376455727254
DAP,25C,0.018384594322298532,0.17784288967467593,0.0053062740299703905,1.0284707634479007,0.0010600008240599114
DAP2,25C,0.02526713019325304,0.12417558918924682,0.0015659970362551013,1.0181148218131713,0.0002767904408069024
EDA,25C,0.013264253566279282,0.23037489089865693,0.006562380764824483,1.0394108473735555,0.0014268845473530795
DAB,33C,0.042134829096889065,0.12182971865472056,0.0046810251408591205,1.0178270598349815,0.0007894479668029926
DAP,33C,0.03283203320273666,0.20895223236329527,0.009692980558282365,1.0341242197887026,0.0018231129608710153
DAP2,33C,0.029246472378344084,0.11910449524975641,0.0013468704293309415,1.0172933107338953,0.00024228144063454844
EDA,33C,0.022023919744506577,0.2013523909289622,0.006612381001014738,1.0329165131978126,0.0012604069515743468
DAB,40C,0.03546650040405006,0.15952630055884287,0.004364114956233263,1.0246921710880168,0.0007927407620818904
DAP,40C,0.049378208739089664,0.1204151676985513,0.0041471865166897,1.0174057554738611,0.0006828121127668715
DAP2,40C,0.047375636526145015,0.08381263733647994,0.0012550998983496117,1.0113025353301388,0.0002066088691340184
EDA,40C,0.0366697658617806,0.10205395376944705,0.003974830867608218,1.0143559804572027,0.000652696884582369
EDA,60C,0.06091660389307934,9.174328258839065e-05,4.69642724462957e-06,1.000005814873721,3.2421656303449335e-07
