label,parameter,tau,neff,rhat
DSC_DAB_25C,log_k1,2244.7001,2138.4,1.873429
DSC_DAB_25C,log_k2,3439.0892,1395.7,1.713484
DSC_DAB_25C,m,2683.7653,1788.5,1.562460
DSC_DAB_25C,n,3050.9096,1573.3,1.652527
DSC_DAB_25C,r,2799.8809,1714.4,1.615228
DSC_DAB_25C,log_sigma,1844.7495,2602.0,1.783946
DSC_DAB_100C,log_k1,4846.2391,990.5,5.700688
DSC_DAB_100C,log_k2,1432.3283,3351.2,5.117648
DSC_DAB_100C,m,2851.7527,1683.2,6.328487
DSC_DAB_100C,n,1266.5006,3790.0,5.459504
DSC_DAB_100C,r,911.5998,5265.5,3.669967
DSC_DAB_100C,log_sigma,981.1736,4892.1,4.027446
DSC_DAB_100C,log_k1,4846.2391,990.5,5.700688
DSC_DAB_100C,log_k2,1432.3283,3351.2,5.117648
DSC_DAB_100C,m,2851.7527,1683.2,6.328487
DSC_DAB_100C,n,1266.5006,3790.0,5.459504
DSC_DAB_100C,r,911.5998,5265.5,3.669967
DSC_DAB_100C,log_sigma,981.1736,4892.1,4.027446
DSC_DAB_80C,log_k1,3658.7684,1311.9,3.259932
DSC_DAB_80C,log_k2,2305.5276,2082.0,2.386633
DSC_DAB_80C,m,5206.4335,921.9,3.797765
DSC_DAB_80C,n,2458.5605,1952.4,2.316323
DSC_DAB_80C,r,2692.3374,1782.8,2.154686
DSC_DAB_80C,log_sigma,1764.7025,2720.0,2.352209
DSC_DAB_60C,log_k1,4849.5527,989.8,3.992469
DSC_DAB_60C,log_k2,2063.5695,2326.1,3.182505
DSC_DAB_60C,m,4576.0653,1048.9,4.026328
DSC_DAB_60C,n,3620.3472,1325.8,3.579938
DSC_DAB_60C,r,2466.9586,1945.7,3.059906
DSC_DAB_60C,log_sigma,1861.5083,2578.6,2.214973
DSC_DAB_50C,log_k1,5636.5128,851.6,3.388440
DSC_DAB_50C,log_k2,3605.8823,1331.2,3.411655
DSC_DAB_50C,m,6260.1788,766.8,2.812212
DSC_DAB_50C,n,7336.8502,654.2,3.636696
DSC_DAB_50C,r,6746.3491,711.5,2.274461
DSC_DAB_50C,log_sigma,1033.3231,4645.2,1.779498
DSC_DAB_25C,log_k1,2244.7001,2138.4,1.873429
DSC_DAB_25C,log_k2,3439.0892,1395.7,1.713484
DSC_DAB_25C,m,2683.7653,1788.5,1.562460
DSC_DAB_25C,n,3050.9096,1573.3,1.652527
DSC_DAB_25C,r,2799.8809,1714.4,1.615228
DSC_DAB_25C,log_sigma,1844.7495,2602.0,1.783946
DSC_DAB_33C,log_k1,2285.5961,2100.1,4.224499
DSC_DAB_33C,log_k2,2454.8630,1955.3,4.243760
DSC_DAB_33C,m,2734.5902,1755.3,4.478168
DSC_DAB_33C,n,3403.7196,1410.2,4.732451
DSC_DAB_33C,r,3164.7114,1516.7,3.853518
DSC_DAB_33C,log_sigma,2052.9178,2338.1,3.188656
DSC_DAP_25C,log_k1,1853.4593,2589.8,2.440871
DSC_DAP_25C,log_k2,2364.3655,2030.1,3.013705
DSC_DAP_25C,m,2469.1201,1944.0,2.605531
DSC_DAP_25C,n,3653.1109,1313.9,2.914405
DSC_DAP_25C,r,3538.7734,1356.4,2.079348
DSC_DAP_25C,log_sigma,907.0335,5292.0,1.360852
DSC_DAP_33C,log_k1,3629.9844,1322.3,2.720035
DSC_DAP_33C,log_k2,4303.7285,1115.3,2.427252
DSC_DAP_33C,m,4294.7080,1117.7,2.252758
DSC_DAP_33C,n,3808.7548,1260.3,2.262306
DSC_DAP_33C,r,1334.1343,3597.8,1.972221
DSC_DAP_33C,log_sigma,867.6677,5532.1,2.052847
DSC_DAP_100C,log_k1,4057.3587,1183.0,2.894072
DSC_DAP_100C,log_k2,2463.4050,1948.5,2.564457
DSC_DAP_100C,m,2193.7590,2188.0,2.546117
DSC_DAP_100C,n,4009.8640,1197.0,2.814338
DSC_DAP_100C,r,3292.8899,1457.7,2.798786
DSC_DAP_100C,log_sigma,1826.4532,2628.0,2.499716
DSC_DAP_50C,log_k1,79.4463,60418.2,1.001063
DSC_DAP_50C,log_k2,78.4827,61159.9,1.000968
DSC_DAP_50C,m,79.1745,60625.6,1.000976
DSC_DAP_50C,n,78.3767,61242.7,1.000999
DSC_DAP_50C,r,75.1894,63838.8,1.001083
DSC_DAP_50C,log_sigma,23.9438,200469.6,1.001113
DSC_DAP_60C,log_k1,8870.2599,541.1,1.453916
DSC_DAP_60C,log_k2,4119.9832,1165.1,1.291970
DSC_DAP_60C,m,9084.7348,528.4,1.357782
