sample,temp,k1,k2,m,n,rss,converged
EDA,25C,5.0728175939791076e-05,0.000301281841405752,1.0235888762337364,1.5889795987987516,0.0033565463867560744,True
DAP,25C,5.234391000032611e-08,0.0004050643029666396,0.44057786943276933,1.3495714853926537,0.0011930132324128448,True
DAB,25C,5.235789072568885e-10,0.00025284789123988045,0.3974008825580947,1.2139660672663615,0.002027405352847274,True
EDA,33C,6.389486798294192e-05,0.0005854644563610003,0.8796629017763471,1.43766278177059,0.017776097523074123,True
DAP,33C,0.00023848888848618176,0.001149769027561615,1.506941573545653,1.5931333568357564,0.0038724408877315736,True
DAB,33C,0.00030485261327236116,0.0009680296540294936,1.9213570757736687,1.4953019311295965,0.005906589508129406,True
EDA,40C,2.610277437408882e-07,0.0010565227249480827,0.42012627236339983,0.9996330183673932,1.0049271127670059,True
DAP,40C,1.285306020832951e-07,0.0013809881537695658,0.42270393809428963,0.8779327762391178,0.0026956614943783154,True
DAB,40C,0.00010588111069524678,0.0016243594610892077,1.1839993378876144,2.0551115379201232,0.006760375172725199,True
DAP2,25C,1.0000028926286824e-10,0.0004008271413490418,0.13319530367163723,1.3641581056909835,0.0033131034760760813,True
DAP2,33C,9.676355850302814e-05,0.0012822845974859404,1.2422647011726886,1.7673008861250705,0.0013964726952872186,True
DAP2,40C,6.780247298678379e-06,0.001018657418816781,0.33812098909493943,0.9618475915805449,0.0007281605169096951,True
