Label,log_k1_median,log_k1_CI_lower,log_k1_CI_upper,log_k2_median,log_k2_CI_lower,log_k2_CI_upper,m_median,m_CI_lower,m_CI_upper,n_median,n_CI_lower,n_CI_upper,log_sigma_median,log_sigma_CI_lower,log_sigma_CI_upper
NMR_DAB_25C,-7.726986841398693,-9.920933558069068,-5.3334202969388,-3.456071940448325,-3.5797694887457725,-3.300179269453006,0.3193617316280863,0.2919294006807941,0.3677411460686118,1.404584353996691,1.3230360369725562,1.4919992187986582,-3.6940480273198384,-3.8202328677605406,-3.555429978268909
NMR_DAB_33C,-6.948535564977497,-9.89511243288824,-4.438007392364689,-3.3184518873465967,-3.4180907009510166,-3.2072547680063668,0.2487853707667196,0.226043691833185,0.3282021341960168,1.152841219877315,1.0803208088707352,1.230717493377916,-3.40981558108409,-3.479557023035502,-3.3452979400003544
NMR_DAB_40C,-3.5249086472115794,-3.693571067933723,-3.4302269411708255,-1.274848438735678,-1.5829822818643615,-1.0641341856016189,0.9170777628077476,0.7864857496944182,1.0124550799679448,2.2780999054067457,2.161039119258181,2.361211725530954,-3.569368769844686,-3.634396314108802,-3.507657543069632
NMR_DAP2_25C,-3.524902803976647,-3.606789734604196,-3.4630879614155816,-0.5796572038971002,-1.1700209452968118,-0.1151254611538223,1.9270805610930957,1.6641773374499442,2.1477919666637972,1.8211657884738308,1.7203914278678354,1.894503454799075,-4.048853133252528,-4.085622329948352,-4.01238509347898
NMR_DAP2_33C,-6.104267336211215,-9.742190828218966,-4.442786500908767,-2.3128522056959753,-2.422964245962447,-2.0433033776969283,0.5086010366365814,0.4852984099316322,0.6231420125424463,1.8540363518981415,1.7821778126772705,1.973367919633472,-3.6941814325294047,-3.7877183079241945,-3.58992965645837
NMR_DAP2_40C,-4.2347087242502095,-4.388238599590441,-4.117851049595499,-2.429797767243648,-2.591966748812957,-2.270214131627014,0.6447622734933326,0.5658209709328424,0.7263727406558146,1.3231503269021716,1.2680006620029491,1.3945330909019895,-3.974423413558937,-4.023494338469235,-3.917172204390273
NMR_DAP_25C,-7.8187271947969315,-9.956515167958464,-5.139299402638006,-3.303879803126702,-3.3901872131565343,-3.212090353227487,0.2681234448820532,0.2509477245234204,0.2965114955266343,1.499168384209853,1.4447117914135237,1.562268922518786,-4.060520588878263,-4.163310924464133,-3.9077445762051775
NMR_DAP_33C,-3.3813896342852168,-3.555069326385425,-3.2778509851285627,-0.3627727743145789,-1.21773997750425,-0.0216975013346943,1.8892567805830267,1.5012927006304324,2.085370468320056,1.8358232728367885,1.5966437723586848,1.9873630395486857,-3.4446412195152196,-3.498016584057635,-3.3652117330545264
NMR_DAP_40C,-7.7919998840574465,-9.857155646443529,-5.1093647119358705,-2.720202081381533,-2.829451635426154,-2.607962624657,0.4367379917445112,0.4135194804331934,0.4678499419000869,1.1711416263975742,1.079690394218234,1.2710628885619526,-3.3669420003684887,-3.4658456902018275,-3.28164194760493
NMR_EDA_25C,-7.784751778682766,-9.906981448306196,-5.470311584520095,-3.339468719991181,-3.480825107428464,-3.1818946367804757,0.36030222769414,0.3329726192268741,0.3964843471799116,1.4626657256780375,1.3751164562923228,1.5623681766994966,-3.925132671442504,-4.00839674002304,-3.811849581395712
NMR_EDA_33C,-4.434488061425016,-4.778443863217978,-4.19834325739106,-2.6669534269867494,-2.98951812764628,-2.2823844075583826,0.5872110349268467,0.4562573154209347,0.7393339999538457,1.5406236077530595,1.4328688007805035,1.6744853725490565,-3.644675988240312,-3.694073491745072,-3.5782903342629275
NMR_EDA_40C,-7.9635696845063695,-9.865086276617982,-6.073160038964785,-2.5027461370786055,-2.588871492064925,-2.4314042134086007,0.5202482114482739,0.5061007116537565,0.535092471225498,1.4198891109140477,1.3504770010974023,1.4847393761120706,-3.513416707180565,-3.572381195184802,-3.44182284551697
DAB_25C_km,-7.3150535281228075,-9.838268675742627,-4.9561013387027755,-3.5983654353209302,-3.6317149823683166,-3.5692195771903394,0.4008993032748895,0.36410344613409806,0.4777322337820542,1.2112431462801352,1.0917513035719404,1.3284842864279995,-2.1062827009824994,-2.1884445856554167,-1.9986374242808178
DAB_33C_km,-3.510709336823443,-3.560044015106106,-3.451202077330395,-3.0717797176506503,-3.4900387791468384,-2.7379066806795893,1.8048324937346067,1.0674085075134998,2.478401649312751,1.3895239859032578,0.8689168220771948,1.9843435389385475,-1.9415685749378955,-2.015506932354311,-1.8571553854561118
DAP2_25C_km,-6.844230970238656,-9.786826794414107,-3.855499813902958,-3.3972927620743056,-3.5854028233400475,-3.369809189876821,0.1432243080298877,0.09024392351200082,0.24640977871962055,1.3817279027290235,1.2424276898207112,1.5101997938018594,-2.0694947064914,-2.1476139304102895,-1.9848573810535648
DAP2_33C_km,-4.015183595582547,-4.095267079707641,-3.9627360782526306,-2.8905051935792407,-2.9991350040026314,-2.7792246667279863,1.2546965177402514,0.9583513487259913,1.5034703827013542,1.7736873011669423,1.4491748544228567,2.0492052981466617,-2.1818621544555286,-2.2695283809106734,-2.065981701310036
DAP2_40C_km,-6.905832363920275,-9.779418975068646,-4.274371479318235,-2.9921251235123156,-3.0087462421717706,-2.9696292027685263,0.3336170418552805,0.3067458208949991,0.40201223652616,0.9620812063253483,0.8683192243417611,1.0652839266258654,-2.3142375755879954,-2.4034750128211364,-2.215148252028556
DAP_25C_km,-7.239077898606423,-9.914155269811184,-4.728972763737704,-3.3906895887790425,-3.420785841601717,-3.3559459485234875,0.44645794088450075,0.405871647476942,0.561116330117476,1.3652344457425323,1.1927784454974113,1.5387356674419401,-2.1258840200054543,-2.2274652481951285,-1.9907187275037466
DAP_40C_km,-6.521659418576874,-9.832875396616224,-3.999543912641,-2.8579298449893074,-2.883244006819521,-2.823153000644696,0.42919571119181943,0.3916120314397673,0.6217935087606935,0.8935996706383493,0.7542551654662673,1.0628622537608476,-2.0004527522284237,-2.1150482568735147,-1.8981321540780651
EDA_25C_km,-4.327641968989857,-9.613451159960407,-4.194495061440881,-3.563766505936097,-3.686847070811499,-3.366838220877593,0.8863013345497754,0.31987997940289203,1.4535893336882655,1.4772546070601251,1.0068681032197269,1.8788208786150309,-1.9517476619686291,-2.060441224240874,-1.8173337470274624
EDA_33C_km,-4.219050668508546,-4.818169988708944,-4.097412773697952,-3.2577531252587715,-3.3537444539690253,-3.1530832093321313,0.816453258537406,0.45366276387890586,1.1212319502369548,1.3647777616711345,1.0225025253767948,1.6496236966307638,-1.7956718598918213,-1.8534663529583688,-1.7240211915464119
EDA_40C_km,-3.6201593304033977,-9.767921221876097,-3.2427568866351515,-2.960666969913489,-9.217845589918788,-2.4241353228787275,0.9989265665833449,0.0772971222359246,4.4272994031869874,0.9932816766534514,0.4776363790792914,1.771431218400338,-0.8096723361093701,-0.8899923169763153,-0.7102238683992916
NMR_DAB_25C,-7.508690890685159,-9.794639458211003,-4.805260368565706,-3.493228537763015,-3.5194312465018274,-3.4648856472158336,0.31583675813324585,0.2915656816676347,0.35526086323316536,0.7094691384240681,0.6630218827483799,0.7496678645427483,-2.237085036942216,-2.35344546417765,-2.109272135788164
NMR_DAB_33C,-6.354051215864699,-9.75935111817289,-3.7832297999503366,-3.102573778753019,-3.1568680939013944,-3.0773827506771085,0.24486928705770095,0.21769952216220467,0.3811903800700699,0.5832963433975318,0.5429519536033347,0.6307632282088003,-2.1033941719527984,-2.1639926319366767,-2.020718777181594
NMR_DAB_40C,-3.724463466234573,-3.8026078382163346,-3.6662234079699094,-2.7476324733431365,-2.7910534250022563,-2.704582897546252,0.8914729571762163,0.7835209574823734,0.9894522218335433,1.1382020516298414,1.08869275445651,1.1942598728939535,-2.1955989023032503,-2.251006062814388,-2.131016721643108
NMR_DAP2_25C,-3.388983905159721,-3.3971000575918437,-3.381577480060177,-3.4175307895098843,-3.5414082019063087,-3.3288552062717587,1.958688575259128,1.6693584288521448,2.1787851509495018,0.9086706817338421,0.8621081753145171,0.9509153225589604,-2.5217662115694046,-2.5517069046025123,-2.4850556733796982
NMR_DAP2_33C,-5.792100709206139,-9.802623495477526,-4.4742701866765495,-2.9754741457600433,-3.003429186635874,-2.9397770608283618,0.503648104491493,0.47472442479248933,0.603989856817579,0.9345770192101301,0.8884186101556049,0.985189167876543,-2.1905109592606125,-2.281961424898148,-2.0987515510642
NMR_DAP2_40C,-3.789659653059589,-3.8948109854384305,-3.709791757782469,-2.85738355655884,-2.8767200925005363,-2.8304836502645125,0.6311365236669948,0.5576382845071759,0.7132873821912852,0.6650744369825604,0.6337677701905563,0.7007626541493754,-2.625835290353556,-2.6672928944215006,-2.570864849357444
NMR_DAP_25C,-7.385680156235559,-9.847957760532976,-4.798644594207066,-3.3356412605572032,-3.358955247027054,-3.3131302288779905,0.2646532416279029,0.24977746295111944,0.28715733246312775,0.753343638309647,0.7263450649278944,0.7847380414741526,-2.524865212787626,-2.629625414757999,-2.360229389314909
NMR_DAP_33C,-3.269941039370001,-3.2906539766761758,-3.2486310265590532,-2.8615497510764256,-3.043642081152186,-2.6939548042089605,1.9353921301567047,1.5528387295482786,2.3365960844624922,0.9351388085504799,0.8186467879164473,1.0542794560961233,-2.074528368230479,-2.128687718012707,-2.005997088769453
NMR_DAP_40C,-7.104953594266429,-9.914790047825893,-4.617318745008636,-2.7548317625672105,-2.7876917785679893,-2.719017647398247,0.43152986709210506,0.4059803788861908,0.47183260443320973,0.5918483216426562,0.5301450612206873,0.6541949330656568,-2.052964454838415,-2.1486415403461123,-1.9305560701129554
NMR_EDA_25C,-7.417401149546395,-9.845285566861545,-5.174146967193167,-3.4946405276685724,-3.5174525274354225,-3.4704862866612056,0.35634566661795175,0.33512877864250057,0.38544370698300984,0.7323837642972336,0.697125625020946,0.7770293139334213,-2.2587396406760325,-2.357606661237783,-2.140209822423721
NMR_EDA_33C,-4.08364879440936,-4.572782875918235,-3.9435918733052153,-3.218538114346072,-3.248799162872703,-3.168359688113327,0.5725015127892468,0.4045282613000677,0.7411881623918887,0.7658920130976314,0.7041308959000718,0.8385669010539942,-2.0929043523069835,-2.1616660016868776,-2.021944902778573
NMR_EDA_40C,-8.016061785733058,-9.885730508523002,-5.945966132931085,-2.823499021901432,-2.8435387350179404,-2.8067937937069054,0.5124434275602436,0.4974941942775254,0.5288730119019648,0.7153588437184213,0.6820756808094675,0.7488750102814244,-2.1524075066551775,-2.2096849264936598,-2.0930796515432686
