Label,log_k1_median,log_k1_CI_lower,log_k1_CI_upper,log_k2_median,log_k2_CI_lower,log_k2_CI_upper,m_median,m_CI_lower,m_CI_upper,n_median,n_CI_lower,n_CI_upper,log_sigma_median,log_sigma_CI_lower,log_sigma_CI_upper
NMR_DAB_25C,-7.313239618697135,-9.874102050727751,-4.877643249370563,-3.492851033371294,-3.5170922175681607,-3.4626718528159173,0.3153835046759627,0.2887078517618966,0.3639735675786817,0.7093891193448219,0.6646262662798703,0.7542692833415371,-2.2382642645865767,-2.3372993808149096,-2.088751604915025
NMR_DAB_33C,-6.465842188903975,-9.757929254928776,-3.9029693225926687,-3.1023833318044116,-3.1556540727094724,-3.0795776312019623,0.2440252296828846,0.21720428859623,0.3322055543828129,0.5826587424302856,0.5399908604868022,0.6228884287063869,-2.1069219117733895,-2.173578537655695,-2.03090833509124
NMR_DAB_40C,-3.717920540798281,-3.825131841125327,-3.654089931646237,-2.7428897916998096,-2.7874623648013173,-2.696989597683212,0.8960344222255987,0.7646125551843649,1.0114147413458017,1.1447851797880917,1.0867868017912592,1.1910385125938514,-2.194185241133399,-2.251927526121372,-2.120133598826944
NMR_DAB_60C,-6.432815223865916,-9.831508356612586,-3.801732659239778,-2.656165980807462,-2.685190314000801,-2.619450176323971,0.4047644939551848,0.3812063027578796,0.525699115221792,0.46941424728844,0.4193095281404177,0.5364035032225083,-2.261801946288892,-2.390667644577291,-2.110363883150016
NMR_DAP2_25C,-3.388484196764396,-3.3979837855164523,-3.380790361800042,-3.411168125213633,-3.5293790617245913,-3.326542782388014,1.9645207069852704,1.662586769532993,2.231041388669528,0.9114202180919156,0.8643854999163167,0.9527548221942266,-2.5231498171041795,-2.550701306509932,-2.487388727353088
NMR_DAP2_33C,-6.133215554755225,-9.783533446927484,-4.438067521132948,-2.9767623017513887,-2.999926694996915,-2.933772682072524,0.5008886946340594,0.4805469991002053,0.615173573857493,0.930279274847944,0.8949143294736773,0.9915046973193002,-2.1979549015179556,-2.273587332495298,-2.1014432887012044
NMR_DAP2_40C,-3.7833178516608776,-3.8948061175259783,-3.701406404381312,-2.8575517678880327,-2.8794229848146973,-2.8304291333349942,0.6354916984424851,0.5598146089815736,0.7236036377355378,0.666338437284165,0.6281154478592771,0.7022878867381441,-2.6267101879341253,-2.670182226271994,-2.571505361758698
NMR_DAP_25C,-7.336626831004028,-9.8943247333052,-4.592426333114889,-3.3360198515801898,-3.3589532492375898,-3.318748758518285,0.2647531140971511,0.2492590858659969,0.2972704914409556,0.7536713311253376,0.7262385362923449,0.779101508350599,-2.5147974802739697,-2.6573551624533476,-2.3714791990833977
NMR_DAP_33C,-3.266622422548427,-3.2917974143959685,-3.2515052925605885,-2.859868598563728,-3.0419960712012695,-2.6974079888809253,1.9477241627997064,1.5484063601255402,2.3094534787226113,0.9325411199346572,0.8161342454253313,1.0528454202273223,-2.070605150853339,-2.1404453424979164,-2.00592880378865
NMR_DAP_40C,-7.3205467158198,-9.86488779369308,-4.691643997208744,-2.755403710701823,-2.78175963428961,-2.726841233190244,0.4311068955908939,0.4096604587431765,0.4698238845916498,0.5898823294966962,0.5395348939062535,0.6414321915272541,-2.039720725574208,-2.1431109704747406,-1.9219605085414435
NMR_DAP_60C,-3.455484070480092,-3.5979331324109833,-3.3788406260662605,-2.4666524759830377,-2.5424542780402835,-2.393253921213308,0.9200995097016592,0.7498352466900364,1.0957995850338889,0.6595359515347682,0.5617835492137127,0.7490425781746731,-2.2713279278152596,-2.4129419505386314,-2.160087294011712
NMR_EDA_25C,-7.709784682027776,-9.733914675247254,-5.03534128710666,-3.4967375581364917,-3.521539797241783,-3.473270508855816,0.3552105384082793,0.3325979757416493,0.3899262039337428,0.7301124910411814,0.6944397732399553,0.7689102839529823,-2.2569265231640303,-2.368650486294259,-2.1421564452150688
NMR_EDA_33C,-4.085331235212639,-4.4119371656520965,-3.932964997307611,-3.215812195243683,-3.2487340592743124,-3.176399694780974,0.571067741473481,0.4388686697911241,0.7307173813321094,0.7698574160387328,0.7165267760760621,0.8289662431489127,-2.096237289510521,-2.149699260378857,-2.0390361045903567
NMR_EDA_40C,-8.01087771629803,-9.763300894713996,-5.75773053533753,-2.823618614592988,-2.844410762772992,-2.8032179912468007,0.5134097394932375,0.4968317807834245,0.527471311234181,0.7124209881096522,0.6815685151195333,0.749930349306103,-2.15503506165121,-2.215563719116808,-2.0863540079967557
NMR_EDA_60C,-3.1336383484529424,-3.2682683294897337,-3.0595854092193817,-2.128040533637878,-2.436033509091603,-1.8494549352870768,1.8567631684521329,1.216041465098831,2.510410336973705,1.1355328060863057,0.8288820233725681,1.4636091262845328,-1.8653789207913976,-1.988705427240232,-1.666783612095598
